引数       	上＼下	0	1	2	3
()         	0.00	f0++;	f1++;	f2++;	f3++;
()         	0.01	f0--;	f1--;	f2--;	f3--;
()         	0.10	f0 = ~f0;	f1 = ~f1;	f2 = ~f2;	f3 = ~f3;
()         	0.11	f0 = 0;	f1 = 0;	f2 = 0;	f3 = 0;
()         	1.00	flag = (f0 == 0);	flag = (f1 == 0);	flag = (f2 == 0);	flag = (f3 == 0);
()         	1.01	flag = (f0 != 0);	flag = (f1 != 0);	flag = (f2 != 0);	flag = (f3 != 0);
()         	1.10	f0 = *f5; f5 += 4;	f1 = *f5; f5 += 4;	f2 = *f5; f5 += 4;	f3 = *f5; f5 += 4;
()         	1.11	f0 = f5;	f1 = f5;	f2 = f5;	f3 = f5;
(L0)       	2.00	L0++;	L0--;	L0 = ~L0;	L0 = 0;	
(L0)       	2.01	flag = (L0 == 0);	flag = (L0 != 0);	L0 = *f5; f5 += 4;	?
(B0)       	2.10	xx += B0;	xx -= B0;	if(flag) xx += B0;	if(flag) xx -= B0;	
(V0)       	2.11	f0 = *V0;	f1 = *V0;	f2 = *V0;	f3 = *V0;
(V0)       	3.0	xx += V0;	xx -= V0;	if(flag) xx += V0;	if(flag) xx -= V0;	f5 += V0;	f5 -= V0;	f5 -= 4; *f5 = V0;	inj V0 xx f5@
()         	3.10	xx = *f5;	?	?	?	
(V0)       	3.11	f0 = xx + V0;	f1 = xx + V0;	f2 = xx + V0;	f3 = xx + V0;
(L0,V1)    	4.00	lat V1 f0 L0	lat V1 f1 L0	lat V1 f2 L0	lat V1 f3 L0
(L0,V1)    	4.01	latsna V1 f0 L0	latsna V1 f1 L0	latsna V1 f2 L0	latsna V1 f3 L0
(L0,V1)    	4.10	inj V1 f0 L0	inj V1 f1 L0	inj V1 f2 L0	inj V1 f3 L0
(L0,L1,V2) 	4.11	lat V2 L1 L0	latsna V2 L1 L0	inj V2 L1 L0	?	
           	5.00	?	?	?	?
           	5.01	?	?	?	?
           	5.10	?	?	?	?
           	5.11	?	?	?	?
           	6.00	?	?	?	?
        	6.01	?	?	?	?
(B0)       	6.10	f0 = (int8_t) B0;	 f1 = (int8_t) B0;	 f2 = (int8_t) B0;	 f3 = (int8_t) B0;	 
(B0,L1)    	6.11	L1 = (int8_t) B0;	?	?	?
(C+S0)     	7.00; C=000	f0 <<= S0;	f1 <<= S0;	f2 <<= S0;	f3 <<= S0;
(C+S0)     	7.00; C=001	f0 >>>= S0;	f1 >>>= S0;	f2 >>>= S0;	f3 >>>= S0;
(C+S0)     	7.00; C=010	f0 >>= S0;	f1 >>= S0;	f2 >>= S0;	f3 >>= S0;	
(C+S0)     	7.00; C=011	flag = (0 == ((1 << S0) & f0));	flag = (0 == ((1 << S0) & f1));	flag = (0 == ((1 << S0) & f2));	flag = (0 == ((1 << S0) & f3));
